publication_year,esac_publisher,total_dois,with_author,with_institutions,with_countries,with_is_corresponding,with_raw_author_name,with_raw_affiliation_strings,with_affiliations,with_walden_author,with_walden_institutions,with_walden_countries,with_walden_is_corresponding,with_walden_raw_author_name,with_walden_raw_affiliation_strings,with_walden_affiliations
2023,American Chemical Society,64997,64989,64610,64754,64989,64989,64821,64821,64996,64600,64600,64996,64996,64381,64381
2023,American Physical Society,19602,19602,19481,19537,19602,19602,19555,19555,19602,19295,19294,19602,19602,19085,19085
2023,Association for Computing Machinery,4587,4587,4439,4495,4587,4587,4543,4543,4587,4451,4451,4587,4587,4543,4543
2023,BMJ Publishing,12748,12659,12265,11954,12659,12659,12511,12511,12662,12133,12133,12662,12662,12236,12236
2023,Brill,6920,6767,6200,6525,6767,6767,6586,6586,6750,6163,6163,6750,6750,6435,6435
2023,Bristol University Press,541,538,526,534,538,538,534,534,538,526,526,538,538,535,535
2023,Cambridge University Press,22890,21890,20689,21000,21890,21890,21220,21220,21825,20013,20013,21825,21825,20222,20222
2023,Company of Biologists,1461,1455,1378,1379,1455,1455,1390,1390,1365,1386,1386,1365,1365,1437,1437
2023,Elsevier,666219,661213,627325,632137,661213,661213,633788,633788,660812,443906,443905,660812,660812,442398,442398
2023,Emerald,16456,16169,15832,16011,16169,16169,16050,16050,16168,15991,15991,16168,16168,16178,16178
2023,IOP Publishing,20826,20821,19324,19454,20821,20821,19488,19488,20821,18111,18111,20821,20821,18031,18031
2023,IOS Press,5705,5668,5202,5334,5668,5668,5362,5362,5658,5202,5202,5658,5658,5332,5332
2023,IWA Publishing,1949,1948,1918,1943,1948,1948,1949,1949,1948,1928,1928,1948,1948,1944,1944
2023,John Benjamins Publishing,1552,1531,1465,1473,1531,1531,1504,1504,1530,1465,1465,1530,1530,1497,1497
2023,Karger,4548,4356,4434,4467,4356,4356,4469,4469,4352,973,973,4352,4352,867,867
2023,Oxford University Press,56251,55565,53496,54101,55565,55565,54259,54259,55553,53256,53256,55553,55553,53408,53408
2023,Portland Press,630,627,627,628,627,627,629,629,627,628,628,627,627,620,620
2023,Royal Society of Chemistry,34876,33744,34745,34806,33744,33744,34845,34845,33700,34752,34752,33700,33700,34645,34645
2023,Sage,73081,71943,68090,69256,71943,71943,69713,69713,71956,68158,68158,71956,71956,69252,69252
2023,Springer Nature,348673,347072,342437,346450,347072,347072,347683,347683,347178,336264,336264,347178,347178,336707,336707
2023,Taylor & Francis,122770,122103,114278,115975,122103,122103,119035,119035,122112,118922,118921,122112,122112,117391,117391
2023,The Royal Society,1541,1541,1538,1540,1541,1541,1541,1541,1541,1538,1538,1541,1541,1503,1503
2023,Walter de Gruyter,15869,15407,14493,15321,15407,15407,15432,15432,15352,14534,14534,15352,15352,15205,15205
2023,Wiley,223394,221082,218316,220007,221082,221082,220719,220719,221081,219302,219302,221081,221081,218150,218150
2024,AIP Publishing,34509,34376,23954,24183,34376,34376,24382,24382,34390,23336,23336,34390,34390,23583,23583
2024,American Chemical Society,74465,74456,74026,74172,74456,74456,74282,74282,74465,74012,74012,74465,74465,73952,73952
2024,American Physical Society,22028,22028,21860,21892,22028,22028,21979,21979,22028,21798,21798,22028,22028,21772,21772
2024,Association for Computing Machinery,5107,5104,4968,5020,5104,5104,5057,5057,5106,4982,4982,5106,5106,5049,5049
2024,BMJ Publishing,14044,13921,13463,13254,13921,13921,13782,13782,13928,11515,11515,13928,13928,11693,11693
2024,Brill,6962,6781,6150,6431,6781,6781,6495,6495,6777,6152,6152,6777,6777,6411,6411
2024,Bristol University Press,622,621,615,620,621,621,621,621,621,615,615,621,621,619,619
2024,Cambridge University Press,21435,20413,15597,15763,20413,20413,15853,15853,20396,13170,13170,20396,20396,13313,13313
2024,Company of Biologists,1374,1327,1331,1334,1327,1327,1343,1343,1263,1328,1328,1263,1263,1352,1352
2024,Elsevier,772402,764885,529320,532984,764885,764885,534106,534106,764816,298131,298131,764816,764816,299358,299358
2024,Emerald,18322,18008,8776,8863,18008,18008,8878,8878,18005,12095,12095,18005,18005,12258,12258
2024,IOP Publishing,26754,26745,15580,15683,26745,26745,15744,15744,26745,11842,11841,26745,26745,11883,11883
2024,IOS Press,5407,5393,4835,4951,5393,5393,4964,4964,5390,4922,4922,5390,5390,5034,5034
2024,IWA Publishing,1931,1928,1889,1922,1928,1928,1925,1925,1927,1896,1896,1927,1927,1925,1925
2024,John Benjamins Publishing,1365,1357,1233,1240,1357,1357,1276,1276,1357,1180,1180,1357,1357,1227,1227
2024,Karger,4646,4443,3796,3818,4443,4443,3822,3822,4442,540,540,4442,4442,911,911
2024,Oxford University Press,57265,56562,54810,55274,56562,56562,55494,55494,56561,54667,54667,56561,56561,54866,54866
2024,Portland Press,552,545,548,550,545,545,551,551,545,548,548,545,545,545,545
2024,Royal Society of Chemistry,36847,35670,34534,34612,35670,35670,34672,34672,35606,36661,36661,35606,35606,36669,36669
2024,Sage,73166,72182,68439,69540,72182,72182,69904,69904,72196,68683,68683,72196,72196,69798,69798
2024,Springer Nature,400502,398900,367138,371097,398900,398900,372206,372206,399090,325780,325780,399090,399090,328563,328563
2024,Taylor & Francis,131139,130433,122848,124623,130433,130433,126662,126662,130445,125932,125932,130445,130445,125623,125623
2024,The Royal Society,1500,1500,1485,1497,1500,1500,1499,1499,1500,1486,1486,1500,1500,1472,1472
2024,Walter de Gruyter,16151,15694,14716,15521,15694,15694,15615,15615,15668,14735,14735,15668,15668,15538,15538
2024,Wiley,244225,242122,237104,238920,242122,242122,239688,239688,242135,235188,235188,242135,242135,236192,236192
2025,AIP Publishing,21921,21877,11242,11300,21877,21877,11355,11355,21877,17214,17214,21877,21877,17309,17309
2025,American Chemical Society,60817,60817,60177,60369,60817,60817,60637,60637,60817,60249,60248,60817,60817,60560,60560
2025,American Physical Society,15621,15621,14307,14349,15621,15621,14493,14493,15621,15150,15150,15621,15621,15180,15180
